id,Survived,Pclass,Sex,Age
id1,Died,3,male,22
id2,Survived,1,female,38
id3,Survived,3,female,26
id4,Survived,1,female,35
id5,Died,3,male,35
id6,Died,3,male,27
id7,Died,1,male,54
id8,Died,3,male,2
id9,Survived,3,female,27
id10,Survived,2,female,14
id11,Survived,3,female,4
id12,Survived,1,female,58
id13,Died,3,male,20
id14,Died,3,male,39
id15,Died,3,female,14
id16,Survived,2,female,55
id17,Died,3,male,2
id18,Survived,2,male,23
id19,Died,3,female,31
id20,Survived,3,female,22
id21,Died,2,male,35
id22,Survived,2,male,34
id23,Survived,3,female,15
id24,Survived,1,male,28
id25,Died,3,female,8
id26,Survived,3,female,38
id27,Died,3,male,26
id28,Died,1,male,19
id29,Survived,3,female,24
id30,Died,3,male,23
id31,Died,1,male,40
id32,Survived,1,female,48
id33,Survived,3,female,18
id34,Died,2,male,66
id35,Died,1,male,28
id36,Died,1,male,42
id37,Survived,3,male,18
id38,Died,3,male,21
id39,Died,3,female,18
id40,Survived,3,female,14
id41,Died,3,female,40
id42,Died,2,female,27
id43,Survived,2,female,3
id44,Survived,3,female,19
id45,Died,3,male,30
id46,Died,3,male,20
id47,Survived,3,female,27
id48,Died,3,male,16
id49,Died,3,female,18
id50,Died,3,male,7
id51,Died,3,male,21
id52,Survived,1,female,49
id53,Survived,2,female,29
id54,Died,1,male,65
id55,Survived,1,male,46
id56,Survived,2,female,21
id57,Died,3,male,28.5
id58,Survived,2,female,5
id59,Died,3,male,11
id60,Died,3,male,22
id61,Survived,1,female,38
id62,Died,1,male,45
id63,Died,3,male,4
id64,Died,1,male,64
id65,Survived,3,male,7
id66,Survived,2,female,29
id67,Died,3,male,19
id68,Survived,3,female,17
id69,Died,3,male,26
id70,Died,2,male,32
id71,Died,3,female,16
id72,Died,2,male,21
id73,Died,3,male,26
id74,Survived,3,male,32
id75,Died,3,male,25
id76,Died,3,male,23
id77,Died,3,male,28
id78,Survived,2,male,0.83
id79,Survived,3,female,30
id80,Died,3,male,22
id81,Survived,3,male,29
id82,Survived,3,female,31
id83,Died,1,male,28
id84,Survived,2,female,17
id85,Survived,3,female,33
id86,Died,3,male,16
id87,Died,3,male,20
id88,Survived,1,female,23
id89,Died,3,male,24
id90,Died,3,male,29
id91,Died,3,male,20
id92,Died,1,male,46
id93,Died,3,male,26
id94,Died,3,male,59
id95,Died,3,male,22
id96,Died,1,male,71
id97,Survived,1,male,23
id98,Survived,2,female,34
id99,Died,2,male,34
id100,Died,3,female,28
id101,Died,3,male,29
id102,Died,1,male,21
id103,Died,3,male,33
id104,Died,3,male,37
id105,Died,3,male,28
id106,Survived,3,female,21
id107,Survived,3,male,29
id108,Died,3,male,38
id109,Survived,3,female,28
id110,Died,1,male,47
id111,Died,3,female,14.5
id112,Died,3,male,22
id113,Died,3,female,20
id114,Died,3,female,17
id115,Died,3,male,21
id116,Died,3,male,70.5
id117,Died,2,male,29
id118,Died,1,male,24
id119,Died,3,female,2
id120,Died,2,male,21
id121,Died,3,male,19
id122,Died,2,male,32.5
id123,Survived,2,female,32.5
id124,Died,1,male,54
id125,Survived,3,male,12
id126,Died,3,male,19
id127,Survived,3,male,24
id128,Survived,3,female,2
id129,Died,3,male,45
id130,Died,3,male,33
id131,Died,3,male,20
id132,Died,3,female,47
id133,Survived,2,female,29
id134,Died,2,male,25
id135,Died,2,male,23
id136,Survived,1,female,19
id137,Died,1,male,37
id138,Died,3,male,16
id139,Died,1,male,24
id140,Died,3,female,40
id141,Survived,3,female,22
id142,Survived,3,female,24
id143,Died,3,male,19
id144,Died,2,male,18
id145,Died,2,male,19
id146,Survived,3,male,27
id147,Died,3,female,9
id148,Died,2,male,36.5
id149,Died,2,male,42
id150,Died,2,male,51
id151,Survived,1,female,22
id152,Died,3,male,55.5
id153,Died,3,male,40.5
id154,Died,3,male,27
id155,Died,1,male,51
id156,Survived,3,female,16
id157,Died,3,male,30
id158,Died,3,male,37
id159,Died,3,male,5
id160,Died,3,male,44
id161,Survived,2,female,40
id162,Died,3,male,26
id163,Died,3,male,17
id164,Died,3,male,1
id165,Survived,3,male,9
id166,Survived,1,female,48
id167,Died,3,female,45
id168,Died,1,male,60
id169,Died,3,male,28
id170,Died,1,male,61
id171,Died,3,male,4
id172,Survived,3,female,1
id173,Died,3,male,21
id174,Died,1,male,56
id175,Died,3,male,18
id176,Died,3,male,5
id177,Died,1,female,50
id178,Died,2,male,30
id179,Died,3,male,36
id180,Died,3,female,8
id181,Died,2,male,39
id182,Died,3,male,9
id183,Survived,2,male,1
id184,Survived,3,female,4
id185,Died,1,male,39
id186,Survived,3,female,26
id187,Survived,1,male,45
id188,Died,3,male,40
id189,Died,3,male,36
id190,Survived,2,female,32
id191,Died,2,male,19
id192,Survived,3,female,19
id193,Survived,2,male,3
id194,Survived,1,female,44
id195,Survived,1,female,58
id196,Died,3,male,28
id197,Died,3,male,42
id198,Survived,3,female,21
id199,Died,2,female,24
id200,Died,3,male,28
id201,Died,3,male,17
id202,Died,3,male,34
id203,Died,3,male,45.5
id204,Survived,3,male,18
id205,Died,3,female,2
id206,Died,3,male,32
id207,Survived,3,male,26
id208,Survived,3,female,16
id209,Survived,1,male,40
id210,Died,3,male,24
id211,Survived,2,female,35
id212,Died,3,male,22
id213,Died,2,male,30
id214,Died,3,male,22
id215,Survived,1,female,31
id216,Survived,3,female,27
id217,Died,2,male,42
id218,Survived,1,female,32
id219,Died,2,male,30
id220,Survived,3,male,16
id221,Died,2,male,27
id222,Died,3,male,51
id223,Died,3,male,22
id224,Survived,1,male,38
id225,Died,3,male,22
id226,Survived,2,male,19
id227,Died,3,male,20.5
id228,Died,2,male,18
id229,Died,3,female,12
id230,Survived,1,female,35
id231,Died,3,male,29
id232,Died,2,male,59
id233,Survived,3,female,5
id234,Died,2,male,24
id235,Died,3,female,21
id236,Died,2,male,44
id237,Survived,2,female,8
id238,Died,2,male,19
id239,Died,2,male,33
id240,Died,3,female,19
id241,Survived,3,female,18
id242,Died,2,male,29
id243,Died,3,male,22
id244,Died,3,male,30
id245,Died,1,male,44
id246,Died,3,female,25
id247,Survived,2,female,24
id248,Survived,1,male,37
id249,Died,2,male,54
id250,Died,3,male,18
id251,Died,3,female,29
id252,Died,1,male,62
id253,Died,3,male,30
id254,Died,3,female,41
id255,Survived,3,female,29
id256,Survived,1,female,38
id257,Survived,1,female,30
id258,Survived,1,female,35
id259,Survived,2,female,50
id260,Survived,3,male,3
id261,Died,1,male,52
id262,Died,1,male,40
id263,Died,3,female,21
id264,Died,2,male,36
id265,Died,3,male,16
id266,Survived,3,male,25
id267,Survived,1,female,58
id268,Survived,1,female,35
id269,Died,1,male,28
id270,Survived,3,male,25
id271,Survived,2,female,41
id272,Died,1,male,37
id273,Survived,3,female,33
id274,Survived,1,female,63
id275,Died,3,female,45
id276,Died,2,male,21
id277,Died,3,male,7
id278,Survived,3,female,35
id279,Died,3,male,65
id280,Died,3,male,28
id281,Died,3,male,16
id282,Survived,3,male,19
id283,Died,1,male,57
id284,Died,3,male,33
id285,Survived,3,male,30
id286,Died,3,male,22
id287,Survived,2,male,42
id288,Survived,3,female,22
id289,Survived,1,female,26
id290,Survived,1,female,19
id291,Died,2,male,36
id292,Died,3,female,24
id293,Died,3,male,24
id294,Died,1,male,30
id295,Died,3,male,23.5
id296,Died,1,female,2
id297,Survived,1,male,47
id298,Survived,1,female,50
id299,Survived,3,female,20
id300,Survived,3,male,24
id301,Died,3,male,19
id302,Survived,2,female,46
id303,Died,3,male,28
id304,Survived,1,male,0.92
id305,Survived,1,female,42
id306,Survived,1,female,17
id307,Died,2,male,30
id308,Survived,1,female,30
id309,Survived,1,female,24
id310,Survived,1,female,18
id311,Died,2,female,26
id312,Died,3,male,28
id313,Died,2,male,43
id314,Survived,3,female,26
id315,Survived,2,female,24
id316,Died,2,male,54
id317,Survived,1,female,31
id318,Survived,1,female,40
id319,Died,3,male,22
id320,Died,3,male,27
id321,Survived,2,female,30
id322,Survived,2,female,22
id323,Died,3,male,20
id324,Survived,1,female,36
id325,Died,3,male,61
id326,Survived,2,female,36
id327,Survived,3,female,31
id328,Survived,1,female,16
id329,Survived,3,female,28
id330,Died,1,male,45.5
id331,Died,1,male,38
id332,Died,3,male,16
id333,Survived,1,female,42
id334,Died,3,male,30
id335,Died,1,male,29
id336,Survived,1,female,41
id337,Survived,3,male,45
id338,Died,1,male,45
id339,Survived,2,male,2
id340,Survived,1,female,24
id341,Died,2,male,28
id342,Died,2,male,25
id343,Died,2,male,36
id344,Survived,2,female,24
id345,Survived,2,female,40
id346,Survived,3,female,34
id347,Survived,3,male,3
id348,Died,3,male,42
id349,Died,3,male,23
id350,Died,1,male,43
id351,Died,3,male,15
id352,Died,3,male,25
id353,Died,3,male,23
id354,Died,3,male,28
id355,Survived,1,female,22
id356,Died,2,female,38
id357,Survived,3,female,22
id358,Survived,3,female,23
id359,Died,3,male,40
id360,Died,2,male,29
id361,Died,3,female,45
id362,Died,3,male,35
id363,Died,3,male,27
id364,Died,3,male,30
id365,Survived,1,female,60
id366,Survived,3,female,35
id367,Survived,3,female,22
id368,Survived,1,female,24
id369,Survived,1,male,25
id370,Died,3,male,18
id371,Died,3,male,19
id372,Died,1,male,22
id373,Died,3,female,3
id374,Survived,1,female,25
id375,Survived,3,female,22
id376,Died,1,male,27
id377,Died,3,male,20
id378,Died,3,male,19
id379,Survived,1,female,42
id380,Survived,3,female,1
id381,Died,3,male,32
id382,Survived,1,female,35
id383,Died,3,male,27
id384,Died,2,male,18
id385,Died,3,male,1
id386,Survived,2,female,36
id387,Died,3,male,19
id388,Survived,2,female,17
id389,Survived,1,male,36
id390,Survived,3,male,21
id391,Died,3,male,28
id392,Survived,1,female,23
id393,Survived,3,female,24
id394,Died,3,male,22
id395,Died,3,female,31
id396,Died,2,male,46
id397,Died,2,male,23
id398,Survived,2,female,28
id399,Survived,3,male,39
id400,Died,3,male,26
id401,Died,3,female,21
id402,Died,3,male,28
id403,Died,3,female,20
id404,Died,2,male,34
id405,Died,3,male,51
id406,Survived,2,male,3
id407,Died,3,male,21
id408,Died,3,female,3
id409,Died,3,male,42
id410,Died,3,male,27
id411,Survived,1,female,33
id412,Died,2,male,22
id413,Survived,3,male,44
id414,Died,3,female,32
id415,Survived,2,female,34
id416,Survived,2,female,18
id417,Died,2,male,30
id418,Died,3,female,10
id419,Died,3,male,21
id420,Died,3,male,29
id421,Died,3,female,28
id422,Died,3,male,18
id423,Died,3,male,54
id424,Survived,2,female,28
id425,Survived,2,female,19
id426,Died,3,male,28
id427,Survived,3,male,32
id428,Survived,1,male,28
id429,Survived,3,female,33
id430,Survived,2,female,42
id431,Died,3,male,17
id432,Died,1,male,50
id433,Survived,1,female,14
id434,Died,3,female,21
id435,Survived,2,female,24
id436,Died,1,male,64
id437,Died,2,male,31
id438,Survived,2,female,45
id439,Died,3,male,20
id440,Died,3,male,25
id441,Survived,2,female,28
id442,Survived,3,male,29
id443,Survived,1,male,4
id444,Survived,2,female,13
id445,Survived,1,male,34
id446,Survived,3,female,5
id447,Survived,1,male,52
id448,Died,2,male,36
id449,Died,3,male,28
id450,Died,1,male,30
id451,Survived,1,male,49
id452,Died,3,male,24
id453,Survived,3,male,29
id454,Died,1,male,65
id455,Survived,1,female,41
id456,Survived,2,female,50
id457,Died,3,male,17
id458,Survived,1,male,48
id459,Died,3,male,34
id460,Died,1,male,47
id461,Died,2,male,48
id462,Died,3,male,34
id463,Died,3,male,38
id464,Died,2,male,21
id465,Died,1,male,56
id466,Died,3,male,22
id467,Survived,3,female,0.75
id468,Died,3,male,39
id469,Died,3,male,38
id470,Survived,2,female,33
id471,Survived,2,female,23
id472,Died,3,female,22
id473,Died,1,male,40
id474,Died,2,male,34
id475,Died,3,male,29
id476,Died,3,male,22
id477,Survived,3,female,2
id478,Died,3,male,9
id479,Died,2,male,37
id480,Died,3,male,50
id481,Survived,3,female,63
id482,Survived,1,male,25
id483,Died,3,female,8
id484,Survived,1,female,35
id485,Died,1,male,58
id486,Died,3,male,30
id487,Survived,3,male,9
id488,Died,3,male,19
id489,Died,3,male,21
id490,Died,1,male,55
id491,Died,1,male,71
id492,Died,3,male,21
id493,Died,3,male,26
id494,Survived,1,female,54
id495,Died,3,male,55
id496,Died,1,female,25
id497,Died,3,male,24
id498,Died,3,male,17
id499,Died,3,female,21
id500,Died,3,female,21
id501,Died,3,female,37
id502,Survived,1,female,16
id503,Died,1,male,18
id504,Survived,2,female,33
id505,Survived,1,male,37
id506,Died,3,male,28
id507,Survived,3,male,26
id508,Survived,3,male,29
id509,Died,3,male,66
id510,Survived,1,male,36
id511,Survived,1,female,54
id512,Died,3,male,24
id513,Died,1,male,47
id514,Survived,2,female,34
id515,Died,3,male,30
id516,Survived,2,female,36
id517,Died,3,male,32
id518,Survived,1,female,30
id519,Died,3,male,22
id520,Died,3,male,35
id521,Survived,1,female,44
id522,Died,3,male,18
id523,Died,3,male,40.5
id524,Survived,2,female,50
id525,Died,1,male,49
id526,Died,3,male,39
id527,Died,2,male,23
id528,Survived,2,female,2
id529,Died,3,male,17
id530,Died,3,male,17
id531,Survived,3,female,24
id532,Died,3,female,30
id533,Survived,2,female,7
id534,Died,1,male,45
id535,Survived,1,female,30
id536,Died,3,male,69
id537,Survived,1,female,22
id538,Survived,1,female,36
id539,Died,3,female,9
id540,Died,3,female,11
id541,Survived,2,male,32
id542,Died,1,male,50
id543,Died,1,male,64
id544,Survived,2,female,19
id545,Survived,2,male,27
id546,Died,3,male,33
id547,Survived,2,male,8
id548,Survived,1,male,17
id549,Died,2,male,27
id550,Died,3,male,21
id551,Survived,3,male,22
id552,Survived,3,female,22
id553,Died,1,male,62
id554,Survived,1,female,48
id555,Died,1,male,45
id556,Survived,1,female,39
id557,Survived,3,female,36
id558,Died,3,male,30
id559,Died,3,male,40
id560,Died,2,male,28
id561,Died,3,male,40
id562,Died,3,female,62
id563,Died,3,male,24
id564,Died,3,male,19
id565,Died,3,female,29
id566,Died,3,male,28
id567,Survived,3,male,32
id568,Survived,2,male,62
id569,Survived,1,female,53
id570,Survived,1,male,36
id571,Survived,3,female,22
id572,Died,3,male,16
id573,Died,3,male,19
id574,Survived,2,female,34
id575,Survived,1,female,39
id576,Died,3,female,18
id577,Survived,3,male,32
id578,Survived,2,female,25
id579,Survived,1,female,39
id580,Died,2,male,54
id581,Died,1,male,36
id582,Died,3,male,16
id583,Survived,1,female,18
id584,Died,2,male,47
id585,Survived,1,male,60
id586,Died,3,male,22
id587,Died,3,male,22
id588,Died,3,male,35
id589,Survived,1,female,52
id590,Died,3,male,47
id591,Died,3,female,40
id592,Died,2,male,37
id593,Died,3,male,36
id594,Survived,2,female,31
id595,Died,3,male,49
id596,Died,3,male,18
id597,Survived,1,male,49
id598,Survived,2,female,24
id599,Died,3,male,42
id600,Died,1,male,37
id601,Died,3,male,44
id602,Survived,1,male,35
id603,Died,3,male,36
id604,Died,3,male,30
id605,Survived,1,male,27
id606,Survived,2,female,22
id607,Survived,1,female,40
id608,Died,3,female,39
id609,Died,3,male,21
id610,Survived,3,female,18
id611,Died,3,male,22
id612,Died,3,male,35
id613,Survived,2,female,24
id614,Died,3,male,34
id615,Died,3,female,26
