C0,C1,C2,C3,C4,T1,T2,T3,T5,T10,S1,S2,HS01,HS02,HS03,HS04,HS05,HS06,HS07,HS08,HS09,HS10,HS11,HS12,HS13,HS14,HS15,HS16,HS17,HS18,HS19,HS20,HS21,HS22,HS23,HS24,HS25,HS26,HS27,HS28,HS29,HS30,HR01,HR02,HR03,HR04,HR05,HR06,HR07,HR08,HR09,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,HR25,HR26,HR27,HR28,HR29,HR30,HT01,HT02,HT03,HT04,HT05,HT06,HT07,HT08,HT09,HT10,HT11,HT12,HT13,HT14,HT15,HT16,HT17,HT18,HT20,HT21,HT22,HT23,HT24,HT25,HT26,HT27,HT28,HT29,HT30,HT31,HH01,HH02,HH03,HH04,HH05,HH06,HH07,HH08,HH09,HH10,HH11,HH12,HH13,HH14,HH15,HH16,HH17,HH18,HH19,HH20,HH21,HH22,HH23,HH24,HH25,HH26,HH27,HH28,HH29,HH30,HH31,HH32,HH33,HH34,HH35,HH36,HH37,HH38,HH39,HH40,HH41,HH42,HH43,HH44,HH45,HH46,HH47,HH48,HH49,HH50,HH51,HH52,HH53,HH54,HH55,HH56,P1,P2,P3,P4,P5,P6,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,DB
AU,AUS,Australia,OCEANIA,Australia and New Zealand,2021,2020,1,2021,2020,AUS_2021_HILDA,HILDA,0.298470487,0.345217579,0.135178802,0.135501939,0.060857389,0.017987936,0.005170185,0.00096941,0.000538561,0,0.000107712,0.480396381,0.196359328,0.024773804,0.130008617,0.271973287,2.547631945,0.161084527,1.96549145,0.582140495,0.411342821,0.325717418,0.311620639,0.342033661,0.373029681,0.312932828,0.32719504,0.27078934,0.19183632,0.092477017,1,0.576186742,0.749677465,0.191413751,0.027399307,0.00295468,1,0.768346129,0.126836606,0.087154735,0.008512682,0,1,0.695029219,0.985298185,0.269242106,0.045783902,0,1,0.853733397,1.857099541,0.241935912,0.045477109,0,1,0.803479716,2.416027421,0.689367825,0.083222129,0.00790291,0.298470487,0.614067212,0.021003878,0.012063766,0.001615683,0.037483843,0.003662215,0.002261956,0.009370961,1,2.986026881,4.663158352,4.060381063,5.434862008,3.096416471,2.648646168,4.096670953,1.825071739,0.298470487,0.614067212,0.045239121,0.0132486,0.019603619,0.009370961,1,2.986026881,3.709831426,3.119872258,3.886516057,1.825071739,0.591875712,0.408124288,0.241110477,0.350637003,0.133295303,0.167522343,0.077771439,0.022057425,0.005704507,0.001140901,0.000570451,0,0.00019015,0.371845621,0.34017813,0.137555666,0.09351806,0.038594755,0.012617516,0.004453241,0.000742207,0.000494805,0,0,0.241110477,0.674272675,0.042783799,0.010648412,0.019395322,0.011789314,0.371845621,0.533894112,0.048243444,0.016575952,0.019792182,0.009648689,2.708494383,2.324223052,0.65481279,0.477051977,2.053681593,1.847171075,0.368320256,0.479682972,0.680639202,0.424706235,0.822994325,0.644270537,0.17397572,0.216702977,0.026844572,0.028203803,1.187758759,0.635120061,0.865922834,1.212051014,25921094,25921094,1.5962,84.5,85.8,83.2,0.951,0.951,21.05459023,12.72681999,0.968,49238.43335,0.93167223,21.81757927,12.81058979,37485.5883,0.962956483,20.30187988,12.63971043,61160.79011,NATIONAL
BE,BEL,Belgium,EUROPE,Western Europe,2021,2020,1,2021,2020,BEL_2021_SILC,SILC,0.347837623,0.332846909,0.132130539,0.125895463,0.043645529,0.013796763,0.001989918,0.000795967,0.000928628,0.000132661,0,0.464977448,0.169540992,0.017643937,0.093393473,0.330856991,2.265631838,0.125182744,1.777990068,0.48764177,0.416256215,0.263654356,0.269612331,0.253239787,0.311066165,0.291866895,0.312621731,0.274537265,0.182969958,0.10606335,1,0.53292746,0.682027815,0.043984176,0.006692387,0,1,0.788646461,0.164499705,0.04198827,0.004865564,0,1,0.753802335,1.161797279,0.070184844,0.014215542,0,1,0.914492469,2.018642481,0.052916227,0.013948824,0,1,0.927252387,2.956847491,0.088424788,0.027475334,0,0.347837623,0.613027328,0.014460069,0.002520562,0.000132661,0.018439904,0.002918546,0.000663306,0,1,2.918260288,4.760538737,4.233729899,4,2.309060123,2.282597765,3.252232636,NA,0.347837623,0.613027328,0.024940302,0.007959671,0.006235076,0,1,2.918260288,3.515476984,2.960691076,3.335402304,NA,0.619624119,0.380375881,0.264994547,0.378844057,0.133478735,0.152671756,0.051908397,0.014176663,0.001526718,0.001090513,0.001090513,0.000218103,0,0.476464612,0.261429055,0.13003725,0.084321029,0.030816119,0.013206908,0.002709109,0.000338639,0.000677277,0,0,0.264994547,0.694874591,0.026390403,0.008287895,0.005452563,0,0.476464612,0.485946495,0.022688791,0.007450051,0.007450051,0,2.429526247,1.998651374,0.501993226,0.464263558,1.927533021,1.534387817,0.436363361,0.383502108,0.676938249,0.298336986,0.698709441,0.654853805,0.048123386,0.037241492,0.005755172,0.008219092,1.144420701,0.425214813,0.78311232,1.109173004,11611416,11611416,1.5831,81.9,84.3,79.4,0.937,0.937,19.60421944,12.37567997,0.978,52293.39977,0.925048073,20.70512962,12.31939983,42532.93431,0.946127575,18.53882027,12.43480968,62295.08289,NATIONAL
BG,BGR,Bulgaria,EUROPE,Eastern Europe,2021,2020,1,2021,2020,BGR_2021_SILC,SILC,0.346576612,0.328698186,0.156403125,0.098000265,0.036948749,0.018673023,0.006489207,0.003840551,0.001589193,0.001191895,0.001589193,0.485101311,0.134949013,0.033373063,0.052708251,0.548139319,2.357323878,0.093543698,1.944952341,0.412371537,0.512140649,0.219411865,0.229943883,0.228414931,0.324691536,0.357598327,0.325732169,0.313156862,0.250020642,0.108353663,1,0.474833551,0.673534032,0.186632075,0.02232422,0,1,0.64295182,0.277813441,0.078740234,0.000494505,0,1,0.780980085,1.04752883,0.144654362,0.026836723,0,1,0.86814604,1.890874966,0.230595289,0.010383705,0,1,0.744352034,2.22537151,0.95700898,0.073267476,0,0.346576612,0.507085154,0.098397563,0.00569461,0.007151371,0.033373063,0.000529731,0.001191895,0,1,2.812445794,4.801347234,4.06898203,7.363688255,2.317095916,2.673167294,5.05595583,NA,0.346576612,0.507085154,0.119454377,0.01231625,0.014567607,0,1,2.812445794,4.411829094,2.773972087,5.596102494,NA,0.619806182,0.380193818,0.190570175,0.393201754,0.196491228,0.125657895,0.049122807,0.025657895,0.008552632,0.00504386,0.002412281,0.001535088,0.001754386,0.584419926,0.23035774,0.095285858,0.055834169,0.018388499,0.008024072,0.003343363,0.002006018,0.000334336,0.000668673,0.001337345,0.190570175,0.641447368,0.137061404,0.012938596,0.017982456,0,0.584419926,0.302240053,0.092611167,0.011367436,0.009361418,0,2.679122116,1.832716357,0.503344499,0.264064013,2.175777617,1.568652344,0.466190762,0.587049874,0.681408643,0.138067109,0.766066003,0.522684951,0.202082067,0.16144492,0.029565402,0.010519376,1.265201288,0.38671312,0.910576329,1.181939224,6885864,6885864,1.586,71.8,75.5,68.4,0.795,0.795,13.89729023,11.41318035,0.995,23078.95595,0.792403351,14.17173004,11.50780964,18109.38936,0.796486006,13.64058971,11.30865955,28356.81512,NATIONAL
CY,CYP,Cyprus,EUROPE,Southern Europe,2021,2020,1,2021,2020,CYP_2021_SILC,SILC,0.226112327,0.357646487,0.158764892,0.161925602,0.068319961,0.02066618,0.005348894,0.000972526,0.000243132,0,0,0.516411379,0.230245563,0.027230732,0.084609774,0.405543399,2.62427941,0.143536193,2.11743308,0.50684633,0.404638237,0.297570594,0.278076464,0.40865,0.425770588,0.337558823,0.323291176,0.266658824,0.185719823,0.100983119,1,0.648006442,0.89049833,0.041639198,0.04413544,0,1,0.740621912,0.158299652,0.026645952,0.074432485,0,1,0.795468912,1.102559837,0.047631378,0.054339873,0,1,0.941122005,2.006473047,0.039578286,0.012826661,0,1,0.919493984,2.92474877,0.110230648,0.045526597,0,0.226112327,0.689764162,0.025042548,0.022368101,0.002188184,0.007780209,0.026015074,0.000729395,0,1,3.027433305,5.001168309,4.157279811,5.011367198,2.194225703,2.014156281,3,NA,0.226112327,0.689764162,0.0269876,0.005835157,0.051300754,0,1,3.027433305,4.444800707,2.63368084,2.779149836,NA,0.761752781,0.238247219,0.119533528,0.389374798,0.172335601,0.198574668,0.085843861,0.025915128,0.006802721,0.001295756,0.000323939,0,0,0.546783626,0.262183236,0.117933723,0.05165692,0.015594542,0.004873294,0.000974659,0,0,0,0,0.119533528,0.808551992,0.027858763,0.003239391,0.040816327,0,0.546783626,0.332358674,0.024366472,0.013645224,0.082846004,0,2.833429442,1.955559669,0.578750673,0.276945082,2.25467877,1.678614587,0.4228555,0.346391803,0.820194489,0.097466025,0.948138552,0.706204052,0.034601755,0.064140162,0.030494647,0.08774943,1.226630455,0.360101609,1.028048315,1.318512978,1244193,1244193,1.3208,81.2,83.2,79.2,0.896,0.896,15.64826965,12.44017029,0.972,38188.42152,0.881957454,15.69172001,12.41040993,30616.52084,0.907058666,15.61785984,12.47198009,45734.5501,NATIONAL
CZ,CZE,Czech Republic,EUROPE,Eastern Europe,2021,2020,1,2021,2020,CZE_2021_SILC,SILC,0.346202605,0.362798202,0.13691368,0.118935116,0.028235565,0.005186124,0.001382966,0.000345742,0,0,0,0.499711882,0.147170681,0.006914832,0.079635819,0.460758327,2.331662416,0.136426057,1.877770158,0.453892258,0.468332712,0.262014335,0.238435858,0.22690041,0.320298174,0.381294936,0.293246685,0.285928354,0.229978035,0.093565628,1,0.60082966,0.660391132,0.068037809,0.002403814,0,1,0.778263776,0.15053546,0.068522459,0.002678304,0,1,0.868046376,1.046234262,0.079230442,0.00648892,0,1,0.973200513,1.931398086,0.093848062,0.001553339,0,1,0.978319334,2.732176467,0.285484415,0.004019784,0,0.346202605,0.60124467,0.027889824,0.000691483,0,0.023279935,0.000691483,0,0,1,2.863455895,4.179121669,3.498508443,NA,2.100565675,2.212031239,NA,NA,0.346202605,0.60124467,0.045522646,0.005647113,0.001382966,0,1,2.863455895,3.352113357,2.785161097,2.841954752,NA,0.753140874,0.246859126,0.174549,0.446448887,0.167723062,0.163172436,0.039167886,0.006825939,0.001625223,0.000487567,0,0,0,0.764659271,0.158874802,0.061806656,0.011093502,0.001584786,0.00118859,0.000792393,0,0,0,0,0.174549,0.765805298,0.052169673,0.006013327,0.001462701,0,0.764659271,0.200079239,0.029318542,0.004754358,0.00118859,0,2.633258928,1.411523615,0.536285539,0.202519141,2.096973388,1.209004474,0.459707144,0.4946484,0.796809309,0.002916646,0.759280432,0.358690421,0.074644261,0.04788223,0.002524925,0.002034318,1.170042105,0.11280818,0.926931284,1.096196293,10510748,10510748,1.6986,77.7,80.9,74.7,0.889,0.889,16.21968079,12.86931038,0.989,38745.21386,0.883640143,16.7543602,12.71214962,30454.50542,0.893197721,15.71041012,13.03565979,47288.80881,NATIONAL
DK,DNK,Denmark,EUROPE,Northern Europe,2021,2020,1,2021,2020,DNK_2021_SILC,SILC,0.380296069,0.405308831,0.096605411,0.084609495,0.026927004,0.004849413,0.001276161,0.000127616,0,0,0,0.501914242,0.111536498,0.00625319,0.059341501,0.408371618,1.829299234,0.086874114,1.476124493,0.353174742,0.373321834,0.18535324,0.203450902,0.264086619,0.20728864,0.235546267,0.252436538,0.210585897,0.189342329,0.081208802,1,0.410401037,0.344331783,0.074566414,0,0,1,0.764548128,0.089919759,0.030944643,0,0,1,0.550020605,0.734473316,0.164746099,0,0,1,0.727699451,1.423867355,0.271855121,0,0,1,0.632640735,1.844527428,0.371632536,0,0,0.380296069,0.551556917,0.004466565,0,0,0.036753446,0,0,0.026927004,1,2.583342487,3.608317877,NA,NA,2.871418312,NA,NA,1,0.380296069,0.551556917,0.037774375,0.003445636,0,0.026927004,1,2.583342487,3.041101917,1.991244919,NA,1,0.483331345,0.516668655,0.325295023,0.387891226,0.077475629,0.076192919,0.025910723,0.004361211,0.000769625,0,0,0,0,0.379600887,0.358980044,0.092239468,0.077605322,0.022172949,0.002660754,0.000665188,0,0,0,0,0.325295023,0.515135967,0.038994356,0.004104669,0,0.014366342,0.379600887,0.507317073,0.03037694,0.002882483,0,0.013747228,1.913037976,1.894016581,0.362515489,0.378307603,1.550522488,1.515708978,0.344264779,0.40754318,0.429885186,0.404730808,0.326668546,0.372547792,0.099166162,0.058006714,0,0,1.033849806,0.485501467,0.516672682,1.030207511,5854246,5854246,1.7187,81.4,83.3,79.5,0.948,0.948,18.71479988,12.96049023,0.98,60364.78595,0.937319033,19.34136963,13.15695,49876.26463,0.956524411,18.10860062,12.76414967,70961.09155,NATIONAL
ES,ESP,Spain,EUROPE,Southern Europe,2021,2020,1,2021,2020,ESP_2021_SILC,SILC,0.244680345,0.321321464,0.20283715,0.178416718,0.039986671,0.00928262,0.002475365,0.000666445,0.000285619,4.76E-05,0,0.524158614,0.218403389,0.012757652,0.087780264,0.339648689,2.42542144,0.105372339,1.999353558,0.426067882,0.467972841,0.22735706,0.247313782,0.242509229,0.309560451,0.407074316,0.367915868,0.286607618,0.207082031,0.130001086,1,0.557151863,0.674266861,0.167740621,0.026262096,0,1,0.712354495,0.147249006,0.096299905,0.01680766,0,1,0.708188013,0.905089562,0.244865012,0.035212609,0,1,0.841145142,1.679546473,0.211156696,0.037436554,0,1,0.812362509,2.193869233,0.53481086,0.052503867,0,0.244680345,0.628219165,0.042462036,0.008473366,0.00090446,0.06093207,0.00523635,0.001094873,0.007997334,1,2.892460371,4.32537982,4.060085064,5.665071838,2.71000255,2.396330629,3.987833474,1,0.244680345,0.628219165,0.078783263,0.024610844,0.015709049,0.007997334,1,2.892460371,3.566234734,3.099747436,3.526522666,1,0.544369149,0.455630851,0.191326308,0.332578594,0.203256989,0.19698685,0.0407559,0.009492293,0.003047984,0.000522512,0.000261256,8.71E-05,0,0.294565109,0.298868982,0.193374037,0.146932239,0.035932339,0.008507657,0.001701531,0.000800721,0.00030027,0,0,0.191326308,0.661586693,0.074457894,0.025777236,0.017242881,0.007924758,0.294565109,0.561205085,0.080472425,0.021719548,0.013011711,0.010009008,2.560725332,2.352428467,0.44907294,0.416067608,2.111652393,1.936360859,0.46803978,0.480476207,0.652626,0.447628174,0.670334193,0.68471126,0.17319733,0.162967055,0.032843156,0.018399314,1.224751902,0.703103048,0.886900491,1.233257811,47486932,47486932,1.2779,83,85.8,80.2,0.905,0.905,17.91690063,10.60540009,0.986,38353.60164,0.895714434,18.43042946,10.52787018,31212.63763,0.908603781,17.4191494,10.68844986,45784.07701,NATIONAL
EE,EST,Estonia,EUROPE,Northern Europe,2021,2020,1,2021,2020,EST_2021_SILC,SILC,0.303850317,0.346837792,0.156022885,0.121230864,0.050564404,0.01546312,0.00386578,0.001546312,0.000309262,0.000154631,0.000154631,0.502860677,0.171795268,0.021493737,0.099427865,0.365702799,2.101230836,0.112785824,1.68743648,0.413794356,0.418793547,0.222722772,0.227370746,0.219714367,0.315197795,0.290440999,0.271319092,0.260076452,0.175321027,0.119067587,1,0.432055715,0.454693253,0.209437725,0.005044143,0,1,0.775714399,0.133158922,0.083789506,0.007337172,0,1,0.71659712,0.895802219,0.384486594,0.003114067,0,1,0.806926874,1.635388843,0.54424741,0.013436873,0,1,0.715347317,2.15961921,1.109625637,0.015407836,0,0.303850317,0.560383485,0.036956858,0.000927787,0.000618525,0.093087985,0.002937993,0.00123705,0,1,2.799422094,4.139762708,4.414054874,6.464892784,3.33237132,2.248937791,4.890247063,NA,0.303850317,0.560383485,0.123859595,0.006185248,0.005721355,0,1,2.799422094,3.570817462,3.137184182,3.548705268,NA,0.444331184,0.555668816,0.252620166,0.380917962,0.157571377,0.13552584,0.050234911,0.015901699,0.005059631,0.001445609,0.000361402,0.000361402,0,0.342162162,0.321351351,0.154864865,0.110540541,0.050810811,0.015135135,0.002972973,0.001621622,0.00027027,0,0.00027027,0.252620166,0.588362848,0.145645103,0.007589447,0.005782436,0,0.342162162,0.539459459,0.107567568,0.005135135,0.005675676,0,2.160081283,2.05417207,0.410823694,0.416169796,1.74925759,1.638002274,0.350015382,0.473790845,0.483638228,0.39080863,0.422268755,0.480620955,0.249370731,0.17750597,0.004803569,0.005236515,1.117938555,0.517254738,0.631319034,1.120747536,1328704,1328704,1.6761,77.1,81.2,72.8,0.89,0.89,15.92895985,13.54843044,1.021,38048.26372,0.898020476,16.76152992,13.78102016,30995.40471,0.879365759,15.14676952,13.2729702,45866.20685,NATIONAL
FI,FIN,Finland,EUROPE,Northern Europe,2021,2020,1,2021,2020,FIN_2021_SILC,SILC,0.256511109,0.419049644,0.126607845,0.125438503,0.051451047,0.011799724,0.004783672,0.002338684,0.000850431,0.000637823,0.000531519,0.545657489,0.17688955,0.020941852,0.081747635,0.299457851,1.92669516,0.086682797,1.558175187,0.368519973,0.436083715,0.192027199,0.212985517,0.229541151,0.249653479,0.232228187,0.249378666,0.248491699,0.205,0.107389262,1,0.451846,0.379093273,0.090072815,0.002988522,0,1,0.885660868,0.081073369,0.029935954,0.000198284,0,1,0.746090484,0.994768514,0.247183638,0.002923445,0,1,0.863349081,1.802379423,0.325423392,0.003815666,0,1,0.80428129,2.558979136,0.598595481,0.021849,0,0.256511109,0.675879664,0.003826937,0.001488253,0,0.060593175,0.000106304,0.000318911,0.001275646,1,2.686075087,3.982165456,5.22349342,NA,3.471762219,2,4.846535697,2.162786579,0.256511109,0.675879664,0.060593175,0.003826937,0.001913469,0.001275646,1,2.686075087,3.577182051,2.649282893,5.007668002,2.162786579,0.485918715,0.514081285,0.23861036,0.42978989,0.133347202,0.124817974,0.051383399,0.011857708,0.006240899,0.0020803,0.00083212,0.00041606,0.00062409,0.275217391,0.407826087,0.119565217,0.126086957,0.051521739,0.01173913,0.00326087,0.002608696,0.000869565,0.000869565,0.000434783,0.23861036,0.677553568,0.076138964,0.004784689,0.00166424,0.00124818,0.275217391,0.674130435,0.044347826,0.002826087,0.002173913,0.001304348,1.973155916,1.882779632,0.365305264,0.371558572,1.607850652,1.51122106,0.385870021,0.483546586,0.483403888,0.422016927,0.368455718,0.389148078,0.115376264,0.066155547,0.002668425,0.003291083,1.066632783,0.470413825,0.541217869,1.040807236,5535982,5535982,1.3891,82,84.7,79.3,0.94,0.94,19.05192947,12.87362003,0.989,49452.16672,0.934283259,19.85631943,13.04683971,41697.50156,0.944567946,18.28832054,12.69112968,57393.79553,NATIONAL
FR,FRA,France,EUROPE,Western Europe,2021,2020,1,2021,2020,FRA_2021_SILC,SILC,0.333357117,0.34755619,0.131145202,0.129504103,0.042597217,0.011487692,0.002640029,0.00099893,0.000356761,0.000285408,7.14E-05,0.478701391,0.17210132,0.015840171,0.086621477,0.344131288,2.173706972,0.094238919,1.72995862,0.443748352,0.475127041,0.219383104,0.283464497,0.211371899,0.261453525,0.281944539,0.287754538,0.288986515,0.210708136,0.12864022,1,0.523621662,0.616443311,0.030734947,0.002907052,0,1,0.824242617,0.144999335,0.027164786,0.00499873,0,1,0.770773235,1.148555855,0.075453213,0.005217696,0,1,0.921587438,2.047183187,0.031042303,0.000187073,0,1,0.908867901,2.96946609,0.11255969,0.00910632,0,0.333357117,0.643310738,0.008205494,0.00099893,0,0.012201213,0.001641099,7.14E-05,0.000214056,1,2.872234066,4.294495958,4.588897026,NA,2.554066204,2.322855036,3,NA,0.333357117,0.643310738,0.015412059,0.004994649,0.002711381,0.000214056,1,2.872234066,3.383497597,2.568982224,2.894308925,NA,0.439980065,0.560019935,0.303967611,0.387044534,0.12534413,0.126315789,0.04145749,0.011497976,0.00291498,0.00048583,0.000323887,0.000647773,0,0.355242967,0.316879795,0.136061381,0.132352941,0.043606138,0.011508951,0.002429668,0.00140665,0.000383632,0,0.000127877,0.303967611,0.672874494,0.016032389,0.0048583,0.002105263,0.000161943,0.355242967,0.621483376,0.014961637,0.00511509,0.002941176,0.000255754,2.158698323,2.182017413,0.393984439,0.482845405,1.764713884,1.699172008,0.484456442,0.467449788,0.572591465,0.485060057,0.55177677,0.664857978,0.032094401,0.029319289,0.002235688,0.00278009,1.114372959,0.595740416,0.650340925,1.103431592,64531448,64531448,1.79,82.5,85.5,79.4,0.903,0.903,15.81206989,11.61005974,0.99,45937.05273,0.897519009,16.15681076,11.43721962,38403.4713,0.906690802,15.47455025,11.80276966,53987.67697,NATIONAL
